from,to,year,value,from_name,from_lat,from_lon,to_name,to_lat,to_lon
TOTAL,ALB,1990,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1991,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1992,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1993,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1994,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1995,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1996,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1997,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1998,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1999,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2000,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2001,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2002,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2003,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2004,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2005,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2006,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2007,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2008,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2009,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2010,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2011,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2012,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2013,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2014,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2015,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2016,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2017,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2018,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2019,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2020,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,AUT,1990,208797.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1991,204599.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1992,204274.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1993,215218.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1994,199367.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1995,254571.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1996,262866.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1997,241012.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1998,248898.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1999,243872.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2000,247538.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2001,250658.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2002,260885.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2003,325261.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2004,339684.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2005,373822.001,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2006,409720.063,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2007,379606.065,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2008,388691.067,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2009,407906.069,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2010,474049.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2011,510952.999,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2012,541127.998,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2013,396670.999,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2014,388129.243,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2015,456859.409,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2016,557057.893,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2017,536865.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,2018,503400.001,Total,0.0,0.0,Austria,47.516231,14.550072
